图片,前型,现状,满载排水量,简介,制造厂,导弹,续航距离,反舰导弹,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,关注度,下水时间,满排吨位,火炮,服役时间
http://images.huanqiu.com/sarons/2013/11/fd6462b57d1b4daa69600fd03bf53048.jpg,NULL,NULL,1661.5吨,"
1976年8月21日在沪东造船厂开工，1977年7月27日下水，1977年3月12日—4月4日试航。
",NULL,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,190人,103.2米,中国,NULL,26节,NULL,“无锡”号（512）导弹护卫舰,1976年8月,{'$oid': '5cc931d7831b973d657f170c'},NULL,1977年7月,500-2000吨,NULL,1978年12月
http://images.huanqiu.com/sarons/2013/11/88b632a4b6237c08efd30d72bbfbe406.jpg,NULL,NULL,3900吨,"
526 温州号，054型(江凯I级)护卫舰，2003年11月30日在黄埔造船厂下水，2009年10月30日-2010年4月23日赴亚丁湾、索马里海域执行第四批护航任务。
",NULL,NULL,3800海里/18节,NULL,NULL,NULL,15米,NULL,NULL,舰船舰艇,护卫舰,190人,132米,中国,NULL,27节,NULL,“温州”号（526）护卫舰,NULL,{'$oid': '5cc931d7831b973d657f170d'},NULL,2003年11月,2000-5000吨,NULL,2005年9月
http://images.huanqiu.com/sarons/2013/11/500ad1bcfec587db55fc0c168bfccd43.jpg,NULL,退役,1389吨,"
507 萍乡号，曾命名贵阳号，6601型（成都级）护卫舰，1955年9月在上海沪东造船厂开工建造，1957年下水，507 萍乡号，曾命名贵阳号，6601型（成都级）护卫舰，60年代，在沪东造船厂进行了中修。1971年5月—1973年9月期间进行了改装，拆除舰舯的鱼雷发射管，安装“上游-1”型反舰导弹。
",沪东造船厂,上游-1型(SY-1)双联装反舰导弹1座。火炮,2000公里/18节,NULL,NULL,NULL,10.1米,NULL,NULL,舰船舰艇,护卫舰,190人,91.5米,中国,NULL,28节,NULL,“萍乡”号（507）护卫舰,1955年9月,{'$oid': '5cc931d7831b973d657f170e'},NULL,1957年,500-2000吨,NULL,1958年
http://images.huanqiu.com/sarons/2013/11/3d4e1d31b0049af48077bf25ff377ccd.jpg,NULL,NULL,1960吨,"
545 临汾号，江湖II级（053H1型)。1985年8月30日开工，1986年11月9日下水，1987年9月30日服役。80年代末进行了改装，改装包括100炮系统、37炮系统、雷达、电子设备等。
",NULL,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.2米,中国,NULL,25.5节,NULL,“临汾”号（545）护卫舰,1985年8月30日,{'$oid': '5cc931d7831b973d657f170f'},NULL,1986年11月9日,500-2000吨,NULL,1987年9月30日
http://images.huanqiu.com/sarons/2013/11/1e0e0d12e8201cf61ce00773e9738d51.jpg,NULL,退役,1661.5吨,"
1977年10月23日在沪东造船厂开工，1979年1月26日下水，1979年5月15日—6月16日试航。
",NULL,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,190人,103.2米,中国,NULL,26节,NULL,“绍兴”号（510）导弹护卫舰 ,1977年10月,{'$oid': '5cc931d7831b973d657f1710'},NULL,1979年1月,500-2000吨,NULL,1979年6月
http://images.huanqiu.com/sarons/2013/11/f4f7e783e6d238c8038d4dd49330b192.jpg,NULL,NULL,2250吨,"
2004年5月下水，2005年4月入列海军，隶属北海舰队某驱逐舰支队。2013年2月，绵阳舰首赴亚丁湾执行护航任务，创造了护航舰艇吨位最小的新纪录。2013年9月23日，第14批护航编队053H3绵阳舰通过护航考验。
",NULL,NULL,5000海里/16节,2座4联装C802导弹发射架，M1.0，射程120公里；防空导弹,NULL,NULL,12.4米,NULL,NULL,舰船舰艇,护卫舰,180人,115米,中国,NULL,28节,NULL,“绵阳”号（528）导弹护卫舰,NULL,{'$oid': '5cc931d7831b973d657f1711'},NULL,2004年5月,2000-5000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/1f03eadb749b832ea01057f72a726c27.jpg,NULL,NULL,1960吨,"
533“宁波”号/“台州”号，江湖II级(053H1型)首舰，1980年7月12日在沪东造船厂开工建造，1981年12月13日下水，1982年6月30日正式服役。该舰原名宁波号，2003年6月改为台州号。
",NULL,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.22米,中国,NULL,25.5节,NULL,“宁波”号（533）导弹护卫舰,1980年7月,{'$oid': '5cc931d7831b973d657f1712'},NULL,1981年12月,500-2000吨,NULL,1982年6月
NULL,NULL,已退役,1250吨,"
504东川号，原弦号214，1980年改为504，65型火炮护卫舰，1965年8月1日在广州造船厂开工，1966年6月25日下水，1966年12月2日服役于南海舰队，现已退役。
",广州造船厂,NULL,2700海里/16节,NULL,NULL,NULL,10.2米,NULL,NULL,舰船舰艇,护卫舰,148人,90米,中国,中国南海,20.5节,NULL,“东川”号(504)护卫舰,1965年,{'$oid': '5cc931d7831b973d657f1713'},NULL,1966年,500-2000吨,NULL,1966年
http://images.huanqiu.com/sarons/2013/11/63e8946e764a6015784122610dda09c5.jpg,NULL,NULL,1661吨,"
552 宜宾号，053H型(江湖I级)导弹护卫舰。1978年12月25日开工，1980年7月17日下水，1980年10月19日至11月15日试航，1980年12月19日交船，服役于南海舰队，2012年10月被拆解。
",NULL,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,190人,103.2米,中国,NULL,26节,NULL,“宜宾”号（552）导弹护卫舰,1978年12月25日,{'$oid': '5cc931d8831b973d657f1714'},NULL,1980年7月17日,500-2000吨,NULL,1980年12月19日
http://images.huanqiu.com/sarons/2013/11/a6ad3868790e1b1ab1805fae08fb649e.jpg,NULL,NULL,1661.5吨,"
518 吉安号，053H型(江湖I级)导弹护卫舰。1977年4月22日在沪东造船厂开工，1978年7月10日下水，1978年11月14日-12月4日试航，1979年3月31日交船，服役于南海舰队。
",NULL,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,3.19米,舰船舰艇,护卫舰,190人,103.2米,中国,NULL,26节,NULL,“吉安”号（518）护卫舰,1977年4月22日,{'$oid': '5cc931d8831b973d657f1715'},NULL,1978年7月10日,500-2000吨,NULL,NULL
