图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,下水时间,枪械,满排吨位,火炮,服役时间
NULL,NULL,NULL,3.5吨,NULL,NULL,NULL,NULL,NULL,2.8米,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,9.2米,美国,NULL,30节,NULL,MIG-G-O8OO,NULL,{'$oid': '5cc93209831b973d657f1870'},NULL,NULL,500吨以内,NULL,NULL
http://images.huanqiu.com/sarons/2013/08/822a50771cfae2d8a28de9641e47a627.jpg,NULL,部分退役,477吨,"
P400级近岸巡逻舰属于法国海军装备中的小型巡逻舰。该舰的建设旨在协助警方法国专属经济区的行动。该级舰现共建成15艘，其中法国10艘，加蓬2艘，阿曼3艘。
",NULL,15节航速下4 200英里,NULL,NULL,8米,NULL,NULL,舰船舰艇,巡逻舰/艇,29人,54.4米,法国,NULL,24.5节,NULL,P400级,NULL,{'$oid': '5cc93209831b973d657f1871'},NULL,NULL,500吨以内,NULL,1986年9月18日
NULL,NULL,NULL,NULL,NULL,NULL,305.78千米,NULL,NULL,2.3米,NULL,NULL,舰船舰艇,巡逻舰/艇,1人,6.8米,墨西哥,NULL,40节,NULL,高速巡逻艇,NULL,{'$oid': '5cc93209831b973d657f1872'},NULL,NULL,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2013/07/65bd7c2747aa2eebdc7b332f18a2e074.jpg,NULL,NULL,148吨,NULL,霍氏桑尼克罗夫特造船厂，墨西哥海军船厂 ,14节航速下1500英里,NULL,NULL,8.7米,NULL,NULL,舰船舰艇,巡逻舰/艇,12人,34.4米,英国,NULL,24节,NULL,“阿兹特克”(Azteca)级巡逻舰,1976年,{'$oid': '5cc93209831b973d657f1873'},NULL,NULL,500吨以内,NULL,NULL
NULL,NULL,NULL,3吨,NULL,伊朗船舶工业公司(IRI MarineIndustries，伊朗),未知,NULL,NULL,2.4米,NULL,NULL,舰船舰艇,巡逻舰/艇,1人,8.1米,伊朗,NULL,42节,NULL,“阿素喇”级近岸巡航艇,NULL,{'$oid': '5cc93209831b973d657f1874'},NULL,NULL,500吨以内,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32米,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,128米,新加坡,NULL,50节,NULL,快速拦截艇,NULL,{'$oid': '5cc93209831b973d657f1875'},NULL,一挺7.62毫米机枪,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2014/01/b687d0a98664e308e2612c8b589bedde.jpg,NULL,NULL,7175吨,"
敷岛号原为再处理钚燃料海上运输船担任护航而设计，设计原则是续航力大、航速高、武器装备精、能对付恐怖分子的海上威胁，是日本海上保安厅以及世界上现有的最大海巡舰。

1992年11月至1993年1月，敷岛号第一次执行任务，完成了从法国瑟堡到日本的护航任务。本级建造1艘，现役中。
",NULL,NULL,NULL,NULL,16.5米,NULL,NULL,舰船舰艇,巡逻舰/艇,68人,150米,日本,日本第三管区,25节,NULL,敷岛级PLH型巡视舰,NULL,{'$oid': '5cc93209831b973d657f1876'},NULL,NULL,5000-10000吨,NULL,1992年4月8日
http://images.huanqiu.com/sarons/2013/11/d37f6db378ae5dfb779e584883dfa960.jpg,NULL,NULL,16吨,NULL,NULL,未知,NULL,NULL,2.8米,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,16.4米,意大利,NULL,72节,NULL,V5000/6000高速拦截艇,NULL,{'$oid': '5cc93209831b973d657f1877'},NULL,NULL,500吨以内,NULL,NULL
NULL,NULL,NULL,11吨,NULL,吕尔森造船厂,750英里，30节,NULL,NULL,2.8米,NULL,NULL,舰船舰艇,巡逻舰/艇,4人,16米,德国,NULL,50节,NULL,吕尔森超细长快速冲击艇 ,NULL,{'$oid': '5cc9320a831b973d657f1878'},NULL,一挺7.62毫米机枪。,500吨以内,NULL,NULL
NULL,NULL,NULL,10吨,NULL,Simmonneau,未知,NULL,NULL,3.8米,NULL,NULL,舰船舰艇,巡逻舰/艇,4人,14米,法国,NULL,NULL,NULL,Manta级高速巡逻/拦截艇,未知,{'$oid': '5cc9320a831b973d657f1879'},NULL,NULL,500吨以内,NULL,NULL
