图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,关注度,下水时间,满排吨位,服役时间
http://images.huanqiu.com/sarons/2013/07/993d9d138a355b8a9025ac3b238dc38a.jpg,NULL,NULL,800吨,NULL,NULL,18节航速下航程1000英里,NULL,NULL,85米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,73米,苏/俄,NULL,19节,NULL,“北方”(Polnochny)级中型登陆舰,NULL,{'$oid': '5cc931e0831b973d657f174a'},NULL,NULL,500-2000吨,1967年
http://images.huanqiu.com/sarons/2014/03/227f37f06c56794a469e5c5e4013e78b.jpg,NULL,现役，在建,18800吨,"
 
",韩进重工业公司,NULL,NULL,NULL,31米,NULL,NULL,舰船舰艇,两栖作战舰艇,700人,199米,韩国,NULL,23节,NULL,独岛级两栖攻击舰,2002年10月底,{'$oid': '5cc931e0831b973d657f174b'},(5分),2005年7月12日,10000-50000吨,NULL
http://images.huanqiu.com/sarons/2013/07/3a480b01d9b660e7c3a9ad4e111bfa04.jpg,塔拉瓦级两栖攻击舰,在役,40650吨,"
“黄蜂”（Wasp）级（LHD-1）是一级多用途两栖攻击舰，也是美海军首次利用新型气垫登陆艇和改进的“鹞”式垂直短距起降飞机支援登陆作战的舰艇。它是为取代90年代退役的“硫磺岛”级两栖攻击舰而发展的，成为美海军20世纪90年代和21世纪初的一级主要两栖战舰。
",英格尔斯造船公司,18节航速下航程9500英里,NULL,NULL,42.7米,美洲级两栖攻击舰,NULL,舰船舰艇,两栖作战舰艇,NULL,257.3米,美国,NULL,22节,“黄蜂”号，“埃塞克斯”号，“卡尔萨基”号，“拳师”号，“巴坦”号，“好人理查德”号，“硫磺岛”号，“马肯岛”号,“黄蜂”级两栖攻击舰,1985年5月30日,{'$oid': '5cc931e0831b973d657f174c'},NULL,1987年8月4日,10000-50000吨,1989年7月6日
http://images.huanqiu.com/sarons/2013/07/eab04531aadd4e7ad78e52a34e55388b.jpg,三浦级坦克登陆舰,现役,14000吨,"
“大隅”级登陆舰（Osumi-class landing ship），功能上接近两栖突击舰。日本海上自卫队将其定义为“运输舰”，但是它并不具有前开式战车进出大门，也不能直接登陆沙滩。本级舰的建造始于90年代初日本柬埔寨维和行动之后的“海外派遣部队输送母舰计划”，用以取代之前的“三浦”级坦克登陆舰和“渥美”级坦克登陆舰。一般认为海上自卫队使用此型登陆舰是为了搜集小型航母必须具备的相关经验，为更大型的直通式飞行甲板船舰累积相关基础。
",三井重工玉野造船厂,未公布,NULL,NULL,25.8米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,178米,日本,太平洋,22节,“大隅”号(LST4001)，“下北”号(LST4002)，“国东”号(LST 4003),“大隅”(Osumi)级船坞式两栖登陆舰,1994年10月,{'$oid': '5cc931e0831b973d657f174d'},NULL,1996年11月18日 ,10000-50000吨,1998年3月
http://images.huanqiu.com/sarons/2013/07/ee49851f67442d6dfd98be7e9c03e6f8.jpg,NULL,两艘在印度服役,17244吨,"
奥斯汀级船坞登陆舰（Austin class）是美国60年代建造的两栖船坞登陆舰级别，并作为回收船全程参加了“阿波罗12”太空计划和“阿波罗14”和“阿波罗15”计划的部分回收工作，奥斯汀级两栖坞式攻击舰同时也是一系列远征战斗系统进入舰队的试验平台，2000年后逐渐退役，其中两艘用每艘5000万美金售予印度，目前母港设于印度维沙卡帕特南。
",NULL,20节航速7700英里,NULL,NULL,30.5米,NULL,10米,舰船舰艇,两栖作战舰艇,NULL,173.8米,美国,NULL,21节,NULL,“奥斯汀”(Austin)级船坞式两栖运输舰,1965年2月6日,{'$oid': '5cc931e0831b973d657f174e'},NULL,1968年,10000-50000吨,1969年
http://images.huanqiu.com/sarons/2013/07/e28c833068d347cec16ad2b11fb22b3c.jpg,NULL,在役,8000吨,"
“圣乔治奥”级运输舰，是上世纪80年代意大利建造的船坞式两栖运输舰。首舰于1985年6月27日动工建造，1987年2月25日下水，1987年10月9日服役。该级共建成3艘，由海军使用，主要执行救灾任务，廉价的通用型设计受到许多国家海军的青睐。
",NULL,16节航速下航程7500英里,NULL,NULL,20.5米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,137米,意大利,NULL,21节,“圣·乔治奥”号(L9892)，“圣·马尔科”号(L9893)，“圣·朱斯托”号(L9894),“圣·乔治奥”(San Giorgio)级船坞式两栖运输舰,1985年6月27日,{'$oid': '5cc931e0831b973d657f174f'},NULL,1987年2月25日,5000-10000吨,1987年10月9日
http://images.huanqiu.com/sarons/2013/07/44f3790a29588864d343e58db9f1108d.jpg,安克拉治级,现役,15939吨,"
""惠德贝岛""级船坞登陆舰是美国海军为适应新形势下两栖战的需要而开发的一种功能多、性能先进的两栖作战舰只。该级舰是美海军最新的船坞登陆舰，是当今和下世纪初美海军登陆战舰艇主力之一，是美国海军陆战队未来一段时间内进行远程兵力投送的主力舰艇。
",洛克希德造船公司,18节航速下航程8000英里 ,NULL,NULL,25.6米,哈珀斯费里级,NULL,舰船舰艇,两栖作战舰艇,NULL,185.8米,美国,NULL,22节,NULL,“惠德贝岛”(whidbeyIsland)级/“哈珀斯费里”级船坞登陆舰,1981年8月4日,{'$oid': '5cc931e0831b973d657f1750'},NULL,1983年6月10日,10000-50000吨,1985年2月9日
http://images.huanqiu.com/sarons/2013/07/b444a8432c1f77d2701b92a10382334b.jpg,NULL,在役,18372吨,"
美国“蓝岭”级两栖指挥舰是二战以来设计的最大的指挥舰。在两栖作战中，能提供海、空、陆综合指挥控制设施。该级建成两艘“蓝岭”号（LCC 19），“惠特尼山”号（LCC 20），现分配到第七和第六舰队。
",美国费城海军造船厂,16节航速时航程13000英里,NULL,NULL,32.9米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,194米,美国,NULL,32节,“蓝岭”号（LCC 19），“惠特尼山”号（LCC 20）,“蓝岭”级两栖指挥舰,1967年,{'$oid': '5cc931e0831b973d657f1751'},NULL,1969年1月,10000-50000吨,1970年
http://images.huanqiu.com/sarons/2013/07/a8280cd489861dba371bfeba05f5ffb4.jpg,NULL,现役,12750吨,"
“鹿特丹”级两栖船坞登陆舰由荷兰与西班牙联合设计，荷兰皇家Schelde公司造船厂负责制造，首舰“鹿特丹”号（L800）于1997年下水，1998年开始服役，2004年3月，“鹿特丹”号在非洲利比里亚参加了联合国行动。
",荷兰皇家须尔德造船厂,12节航速时航程6000英里,NULL,NULL,25米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,166米,荷兰,大西洋,18节,“鹿特丹”号（L800），“约翰·德·维特”号（L801），“加里西亚”号（L51），“卡斯提拉”号（L 52）,“鹿特丹/加里西亚”级两栖登陆舰,1994年,{'$oid': '5cc931e1831b973d657f1752'},NULL,1997年2月,10000-50000吨,1998年4月
http://images.huanqiu.com/sarons/2013/07/3a1d6e65f7e5f35a8a93194714f53974.jpg,NULL,在役,21758吨,"
“海洋”级是继“无恐”级两栖船坞运输舰之后发展的一级最新船坞运输舰，于1994年5月30日由维克斯造船有限公司开始着手建造，并于1998年9月30日开始服役。
",维克斯造船与工程有限公司,15节航速时航程8 000英里,NULL,NULL,34.4米,NULL,NULL,舰船舰艇,两栖作战舰艇,NULL,203.4米,英国,NULL,19节,NULL,“海洋”(0cean)级两栖攻击舰,1994年5月30日,{'$oid': '5cc931e1831b973d657f1753'},NULL,1994年10月11日,10000-50000吨,1998年9月30日
