国家,生产厂商
美国,旧金山联合钢铁造船厂
美国,诺福克造船厂
美国,马尔岛海军造船厂
日本,吴海军工厂(扶桑号)
日本,吴市吴海军工厂（长门号）
日本,英国维克斯船厂（金刚号战列舰）
日本,川崎重工业神户造船所
日本,川崎重工神户造船所(伊势号战列舰）
美国,巴斯钢铁厂
日本,吴市吴海军工厂（大和号）
日本,三菱重工长崎造船所
日本,吴海军工厂造船船坞
日本,神户市川崎造船所
意大利,亚德里亚海联合造船厂
日本,横须贺工厂
德国,德国伏尔铿造船厂
英国,维克斯·阿姆斯特朗船厂（英王乔治五世号）
意大利,奥德罗造船厂
德国,汉堡布洛姆·福斯船厂
法国,布雷斯特船厂，洛里昂船厂，圣纳泽尔船厂
意大利,奥德罗船厂
中国,中国造船公司高雄厂
美国,美国洛克希德造船与结构公司
中国,上海沪东中华造船厂， 广州黄埔造船有限公司
比利时,英国科克尔船厂
西班牙,卡塔赫纳船厂
加拿大,圣约翰造船有限公司
德国,原联邦德国霍瓦兹造船公司
丹麦,丹麦爱尔堡造船厂（Aalborg Yard Ltd）
中国,上海沪东中华造船厂
荷兰,皇家斯凯尔德造船厂
荷兰,荷兰达门斯海尔德海军造船厂
法国,DCNS造船厂
英国,BAE系统公司苏格吐温造船厂
德国,Blohm-Voss造船厂Howaldtwerkft(HDW）造船厂ThyssenNordseewerke(TNSW）造船厂
印度,印度马扎冈船坞有限公司
德国,德国汉堡勃姆沃斯造船厂
印度,扎沃德（Baltiysky) 造船厂
印度,马扎冈船坞有限公司
前南斯拉夫,南斯拉夫Uljanic造船厂
巴西,德国海洋技术集团
英国,沃斯泊·桑尼克罗夫特造船厂，亚罗造船有限公司
德国,前东德沃尔格斯特（Peenewerft） 造船厂
英国,英国沃斯帕公司
意大利,意大利坎蒂里公司（CNR）
西班牙,巴赞造船公司
美国,埃文代尔造船厂 
日本,三井造船玉野事业所，日立造船舞鹤船厂，住友重工追浜造船所，浦贺船厂
美国,美国路易斯安那州埃文代尔船厂
苏/俄,扬塔尔（Yantar）造船厂，列宁格勒海军造船厂，加里宁格勒造船厂
苏/俄,泽列诺多尔斯克造船厂
西班牙,巴赞造船厂
法国,南特造船厂
罗马尼亚,曼加利亚造船厂（现大宇曼加利亚重型工业造船厂）
朝鲜,罗津造船厂
中国,沪东中华造船集团有限公司
克罗地亚,克拉列为察船厂
西班牙,西班牙巴赞造船公司（现在的纳凡蒂亚公司）
西班牙,西班牙纳凡蒂亚公司
德国,布洛姆· 福斯造船厂，德国海军集团（GNG）和莫实得海军造船厂（PCS-ND前身）
瑞典,瑞典考库姆（Kockums）公司
德国,布卢姆沃斯（Bloom Voss）公司
韩国,韩国造船公司（现在的韩进重工）
瑞典,卡尔斯克鲁纳（Karlskrona）船厂
英国,英国亚罗造船厂
