型宽,名称,鱼雷,大类,编制,舰长,武器装备,潜航深度,水下排水量,制造厂,_id,图片,次型,满载排水量,活动范围,服役时间,前型,下水时间,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
12.8米,“俄亥俄”级核潜艇,NULL,舰船舰艇,140人,170.7米,NULL,240米,18750吨,NULL,{'$oid': '5cc931e7831b973d657f1782'},http://images.huanqiu.com/sarons/2013/08/e64101b5126396cf534c61c169faf63e.jpg,SSBN-X,NULL,NULL,1981年（首舰俄亥俄号）,本杰明·富兰克林级核潜艇,1979年（首舰俄亥俄号）,美国,10000-50000吨,核潜艇,1976年-1997年,18艘,"
俄亥俄级核潜艇（Ohio-class submarine）是美国海军1976年开始建造的一个核动力潜艇等级。现今，共有18艘俄亥俄级潜艇在美国海军中服役，其中14艘为弹道导弹核潜艇（SSBN），4艘为巡航导弹核潜艇（SSGN）。每艘SSBN版的俄亥俄级潜艇均装备有24枚三叉戟（Trident）潜射弹道导弹，故这些潜艇也被称为“三叉戟”级潜艇，提供美国贯彻“核三位一体”思想的战略核武器库的海基力量。至于后期建造的SSGN版俄亥俄级则能够携带多达154枚、携带常规弹头的战斧巡航导弹。
",24节,NULL,16600吨,在役,NULL
10.4米,“弗吉尼亚”级核动力攻击型潜艇,NULL,舰船舰艇,134人,114.9米,NULL,450米,7800吨,纽波特纽斯造船公司，通用动力电船公司,{'$oid': '5cc931e7831b973d657f1783'},http://images.huanqiu.com/sarons/2013/07/09525116702d818cab36857207b8d14e.jpg,NULL,NULL,太平洋大西洋,2004年10月24日,“海浪”级,NULL,美国,5000-10000吨,核潜艇,NULL,NULL,“弗吉尼亚”级核动力攻击潜艇（Virginia class submarine），又称为774级或“百人队长”级，是美国海军第一艘同时针对大洋和近海两种功能设计的核子潜艇。作为取代冷战时代海狼级潜舰的便宜方案，计划建造30艘，均由纽波特纽斯造船公司、通用动力电船公司联合建造。“弗吉尼亚”级不属于战略核潜艇，在执行对地支援任务时，也就不易引起有核国家误判，这也成为其优势之一。“弗吉尼亚”级的先进设计理念使其成为了新世纪美国海军最可倚重的“水下特种兵”。,34节,NULL,NULL,现役,NULL
10米,汉级（091型）长征1号（401）潜艇,NULL,舰船舰艇,NULL,98米,NULL,200米,5550吨,渤海造船厂,{'$oid': '5cc931e7831b973d657f1784'},,NULL,NULL,NULL,1974年8月1日,NULL,1970年4月,中国,5000-10000吨,核潜艇,1968年11月,NULL,"
 “汉”级(091型)攻击型核潜艇是中国第一代攻击型核潜艇(SSN)，也是目前中国仅有的一级攻击型核潜艇。“汉”级核潜艇共五艘，均部署在北海舰队。
",25节,NULL,4500吨,NULL,NULL
9.5米,705型/阿尔法级(A级) ,NULL,舰船舰艇,40人,81.4米,NULL,350米,NULL,NULL,{'$oid': '5cc931e7831b973d657f1785'},http://images.huanqiu.com/sarons/2013/12/700746eeef6ea2b9828c924138e352b3.jpg,M级核潜艇,NULL,NULL,1977年,V级核潜艇,1977年,苏/俄,2000-5000吨,核潜艇,1977年,NULL,"
阿尔法级核动力攻击潜艇(英文：Alfa class submarine，亦可翻译为A级潜艇，苏俄代号：705级“天琴座”(俄语：Лира)，是苏俄第二代攻击核潜艇，高自动化、快速、钛合金艇壳。该级潜艇自设计，建造到最后使用一直充满了争议。阿尔法级是苏俄迄今为止满编作战人数最少，水下航速最快的核潜艇。
",41节,50天,2300吨,NULL,不限
11.7米,667型/杨基级（Y级）,NULL,舰船舰艇,114人,128米,NULL,NULL,11500吨,北德文斯克造船厂,{'$oid': '5cc931e7831b973d657f1786'},,NULL,NULL,NULL,1968年,NULL,NULL,苏/俄,10000-50000吨,核潜艇,NULL,NULL,"
杨基级（Yankee class）核潜艇是一系列苏联第二代核动力弹道导弹潜艇的北约代号，此级潜艇包括了667A级（杨基I级）、667AУ级（杨基I级改进型）、667AM级（杨基II级）。该级潜艇自1968年服役，统一划归在代号为“627计划”的研究计划中，由红宝石设计局设计（当时名为第18中央设计局）。该级中24艘由北德文斯克造船厂建造，划归北方舰队，还有10艘为共青城建造，划归太平洋舰队。该级的北约代号为杨基（Yankee，在英文俚语中意指“美国佬”）是因为该级外形颇像美国潜艇乔治·华盛顿级。现在部分杨基级潜艇退役。
",28节,NULL,7760吨,NULL,NULL
12.5米,凯旋级核潜艇,NULL,舰船舰艇,96人,138米,NULL,500米,14335吨,DCNS公司,{'$oid': '5cc931e7831b973d657f1787'},,NULL,NULL,NULL,1997年,NULL,NULL,法国,10000-50000吨,核潜艇,NULL,NULL,"
凯旋级弹道导弹核潜艇是法国海军现役的第三代弹道导弹核潜艇。共建造4艘，分别为凯旋号、鲁莽号、警醒号和猛烈号。四艘核潜艇取代原有的六艘可畏级核潜艇，成为法国核慑力的一部份。
",25节,NULL,12640吨,服役中,NULL
8.8米,梭鱼级潜艇,NULL,舰船舰艇,52人,99.5米,NULL,350米,5300吨,DCN公司,{'$oid': '5cc931e8831b973d657f1788'},,NULL,NULL,NULL,NULL,NULL,NULL,法国,5000-10000吨,核潜艇,NULL,NULL,"
梭鱼级核潜艇是法国的下一代核动力攻击型潜艇，它由DCN设计，用来替代红宝石级核潜艇（Rubis class submarine）潜艇的设计工作采用了凯旋级弹道导弹核潜艇（Triomphant class submarine）的技术，但螺旋桨推进器是全新的设计。该级潜艇可以装备巡航导弹，以实现远距离深入打击。执行的任务包括：反舰、反潜作战，对地攻击，情报收集，危机处理和特种作战。根据计划将建造6艘梭鱼级核潜艇，其中头两艘应该在2003年和2008年之间订购，并在2012年进行试航。
",25节,NULL,4765吨,建造中,NULL
11.7米,667型/德尔塔级(D级)核潜艇 ,NULL,舰船舰艇,114人,139米,NULL,390米,10100吨,NULL,{'$oid': '5cc931e8831b973d657f1789'},http://images.huanqiu.com/sarons/2013/12/e0d413ef69b3737bd38bafe7a53f60a3.jpg,NULL,NULL,NULL, 1972年,NULL,NULL,苏/俄,10000-50000吨,核潜艇,NULL,NULL,"
德尔塔级是苏联建造的德尔塔I至IV级常温液体燃料弹道导弹核潜艇中的总称。如果将德尔塔I~IV算作一个级别，那德尔塔级是苏俄建造数量最多的弹道导弹核潜艇。德尔塔级属于苏联第二代弹道导弹核潜艇，由红宝石设计局设计。德尔塔4个级别的苏俄代号分别是667B、667БA、667BAР以及667BAРМ。由于德尔塔出现了4种外形相似，但又各有不同的艇型，这让北约为德尔塔级命名上遇上困难。在为德尔塔级命名上，北约武器系统命名小组将四个艇型统称为德尔塔（Delta）四个艇型则分别命名为德尔塔I级~德尔塔IV级，而苏联则将这四个艇型分为2个级别：667Б与667BA为同级，属于原型与改进型的关系，而667BAP与667BAРМ化为一个等级。德尔塔III和德尔塔IV都曾经试验发射潜射近地卫星运载火箭。德尔塔III级发射失败，而德尔塔IV级却取得成功。
",15节,NULL,7850吨,NULL,NULL
10.5米,671型/维克托级（V级）,NULL,舰船舰艇,76人,94米,NULL,600米,5300吨,NULL,{'$oid': '5cc931e8831b973d657f178a'},http://images.huanqiu.com/sarons/2013/12/28b47246bf5060998e703fd540910f8f.jpg,NULL,NULL,NULL,1967年,NULL,NULL,苏/俄,5000-10000吨,核潜艇,NULL,NULL,"
苏联海军671“Ёрш”（“梅花鲈”）核动力攻击型潜艇，北约命名为“维克托”级（V-级）潜艇，是苏联第二代核潜艇，也是目前俄罗斯海军核动力攻击型潜艇部队的主力，共有47艘在役，分属于北方舰队和太平洋舰队。由于不断改进，V&127级潜艇共有V-Ⅰ、V—Ⅱ和V-Ⅲ三种型号。1967年入役。艇身为泪滴型，适合于水下高速航行。
",32节,NULL,4300吨,NULL,NULL
11.5米,661型/帕帕级（P级） ,NULL,舰船舰艇,55人,106.9米,NULL,400米,8500吨,北德文斯克造船厂,{'$oid': '5cc931e8831b973d657f178b'},http://images.huanqiu.com/sarons/2013/12/9e3a2f76d916b9d6fc5128c24e0d5ceb.jpg,奥斯卡级核潜艇,NULL,NULL,1969年12月31日,回声级, 1968年12月21日,苏/俄,5000-10000吨,核潜艇,1963年12月28日,NULL,"661型“见血封喉树”(俄语：Анчар)巡航导弹核潜艇，北约命名为Papa级，根据苏联政府决定1959年起由第16中央设计局研究、试验、设计。型号总设计师为（俄语）Н. Н. Исанин, 不久（俄语）Н. Ф. Шульженко继任， 首艇也是唯一的一艘。",NULL,NULL,5200吨,NULL,NULL
