型宽,名称,大类,编制,舰长,制造厂,_id,图片,次型,满载排水量,活动范围,下水时间,服役时间,前型,枪械,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,导弹,现状,续航距离
7.8米,“信天翁”(Albatros)(143型)级快速导弹巡逻舰,舰船舰艇,NULL,57.6米,吕尔森船厂,{'$oid': '5cc93200831b973d657f183a'},http://images.huanqiu.com/sarons/2013/07/d70deda252b3bd8c7f4a4e7c29193906.jpg,NULL,398吨,NULL,1973年10月22日,1976年11月1日,NULL,NULL,德国,500吨以内,导弹艇,1972年5月4日,10艘,,40节,NULL,NULL,部分退役，部分出售他国。,30节航速下1300英里
6.4米,037（红箭级）导弹巡逻舰,舰船舰艇,47人,45米,黄埔造船厂,{'$oid': '5cc93200831b973d657f183b'},http://images.huanqiu.com/sarons/2013/07/243d96af62a20ae0c218c11634a65769.jpg,NULL,520吨,中国南海海域,1990年12月18日,1991年8月20日,55甲型炮艇,NULL,中国,500-2000吨,导弹艇,1989年7月28日,阳江号顺德号南海号番禹号廉江号新会号,"
037-II型（北约代号：红箭级）是由国内首次采用招标方式发包兴建的海军舰艇,由黄埔造船厂得标于1987年12月签约建造。该舰共建成6艘，现服役于中国南海舰队。
",30节,NULL,NULL,现役,18节航速下航程1800英里
7.8米,“火花/萨尔4”级导弹巡逻舰,舰船舰艇,45人,58.1米,以色列海法造船厂,{'$oid': '5cc93200831b973d657f183c'},http://images.huanqiu.com/sarons/2013/07/3da8c2f6ff1e108f5c9326277ea2cd25.jpg,萨尔4.5级导弹快艇,450吨,NULL,NULL,1973年4月,“萨尔”3级导弹快艇,NULL,以色列,500吨以内,导弹艇,1970年1月,“卡斯玛”级、“勇士”(原“大臣”)级,"
“火花”级导弹巡逻舰又称“萨尔4”级，最初是1970年1月由以色列海法造船厂建造的快速攻击型导弹巡逻舰。在1973年10月的赎罪日战争中，“火花”级第一次战参战。在这场战争中，两艘“火花”级巡逻舰与埃及、叙利亚的船只及沿海的目标进行了导弹战。目前，以色列已售出大部分“火花”级巡逻舰，但仍有两艘在以色列海军服役。
",32节,NULL,NULL,NULL,17.5节航速下4000英里
15.5米,“无畏”(Fearless)级近岸巡逻舰,舰船舰艇,210人,131.2米,新加坡科技工程有限公司,{'$oid': '5cc93200831b973d657f183d'},http://images.huanqiu.com/sarons/2013/07/20d9addcea17da3c18d77853e5593229.jpg,NULL,3450吨,太平洋,1995年2月18日,1996年10月5日,”斯威夫特“级,NULL,新加坡,2000-5000吨,导弹艇,20世纪90年代初,NULL,,30节,NULL,NULL,现役11艘,4500海里/16节
5.5米,“德沃拉/海鸥”(Dvora/Haiou)级快速导弹巡逻舰,舰船舰艇,NULL,21.6米,科伦坡船坞有限公司 ,{'$oid': '5cc93201831b973d657f183e'},http://images.huanqiu.com/sarons/2013/07/6ce4404ed32b0237b8f87406bec6e48d.jpg,超级德沃拉MK II,47吨,NULL,NULL,NULL,NULL,NULL,以色列,500吨以内,导弹艇,NULL,NULL,,36节,NULL,NULL,NULL,32节航速下700英里
12米,“艾斯纳”(Eithne)级近岸巡逻舰,舰船舰艇,NULL,80.8米,NULL,{'$oid': '5cc93201831b973d657f183f'},http://images.huanqiu.com/sarons/2013/07/3b8fec412d9d2cb0f33e6fa1a877797b.jpg,NULL,1910吨,NULL,1983年12月19日,1984年12月7日,NULL,NULL,爱尔兰,500-2000吨,导弹艇,1982年12月15日,NULL,,20节,NULL,NULL,在役,15节航速下7000英里
8米,“斗士”(LaCombattante)III/IIlB/llIM/“安西波普洛亚克斯•拉斯科斯”/“达姆沙”级快速导弹巡逻舰,舰船舰艇,NULL,56.2米,NULL,{'$oid': '5cc93201831b973d657f1840'},http://images.huanqiu.com/sarons/2013/07/dbffbfce6acd2d48422a25885ae4f68f.jpg,NULL,425吨,NULL,未知,1977年4月20日,NULL,NULL,法国,500吨以内,导弹艇,未知,NULL,"
“斗士”(LaCombattante)III级快速导弹巡逻舰是指希腊在1974年从法国订购的四艘舰艇。它们跟“斗士”(LaCombattantee)II/IIA级快速导弹巡逻舰十分相似，但是要比其更大，并装备有鱼雷。第二批的6艘于1978年订购，在希腊建造，并配备有企鹅MK2MOD3导弹。
",36节,NULL,NULL,NULL,15节航速下2700英里
13.5米,“盾牌”(Skjold)级快速导弹巡逻舰,舰船舰艇,NULL,46.8米,乌莫曼达尔船厂,{'$oid': '5cc93201831b973d657f1841'},http://images.huanqiu.com/sarons/2013/07/efda2fd6ca3cbea015798d8bd74431e8.jpg,NULL,260吨,NULL,1998年9月22日,1999年4月17日,NULL,NULL,挪威,500吨以内,导弹艇,1997年8月4日,6艘,,57节,NULL,NULL,服役中,40节航速下800英里
8.4米,“维拉德”(Velarde)(PR一72P)级快速导弹巡逻舰,舰船舰艇,NULL,64米,维伦纽夫-LA-嘎瑞（SFCN）船厂，洛里昂海军造船厂,{'$oid': '5cc93201831b973d657f1842'},http://images.huanqiu.com/sarons/2013/07/e431199fdb373de1b09b135ad45c0ce5.jpg,NULL,560吨,NULL,NULL,1980年7月25日,NULL,NULL,法国,500-2000吨,导弹艇,1978年9月16日,6艘,,37节,NULL,NULL,NULL,16节航速下2500英里
7.6米,“吕尔森”(Lursscn)FPB 57级快速导弹巡逻舰,舰船舰艇,NULL,58.1米,吕尔森公司,{'$oid': '5cc93201831b973d657f1843'},http://images.huanqiu.com/sarons/2013/07/6a07703fe44f09ebe668c6d5da0a6ded.jpg,NULL,428吨,NULL,NULL,1977年6月15日,NULL,NULL,德国,500吨以内,导弹艇,1976年6月16日,NULL,"
“吕尔森”FPB57级，也被称为“阿齐莫塔”级，是由德国“吕尔森”公司为加纳海军在20世纪80年代初建造的小型巡逻艇。该级舰配备了沃德•梅莱拉76毫米两用炮和40毫米高射炮。推进系统包括四台柴油发动机，最高时速为30海里。加纳订购的两艘船于1981年开始服役。
",27节,NULL,NULL,现役,27节下700海里
6.2米,“霍克”(Hauk)级快速导弹巡逻舰,舰船舰艇,NULL,36.5米,NULL,{'$oid': '5cc93201831b973d657f1844'},http://images.huanqiu.com/sarons/2013/07/0c5efe0ba5b8c2bed8806df58e8af213.jpg,超级霍克级,160吨,NULL,NULL,1977年8月17日,“盾牌”级,NULL,挪威,500吨以内,导弹艇,20世纪70年代,14艘,"
霍克级(Hauk级)巡逻艇是挪威的快速攻击艇，在20世纪70年代开始建造，首艇“霍克”号在1977年8月17日开始服役。
",32节,NULL,NULL,退役,30节航速下440英里
