数量,大类,简介,发射性能,产国,参战情况,全枪长,弹匣容弹量,有效射程,全枪重,战斗射速,类型,制造商,图片,生产年限,_id,名称,口径
NULL,枪械与单兵,,NULL,南非,NULL,2015毫米,3发,2300米,32千克,NULL,狙击枪,南非托尼内奥皮图兵器设计公司,http://images.huanqiu.com/sarons/2013/08/d281f23bf193b08eac56deb087f03b51.jpg,1995年至今,{'$oid': '5cc9323f831b973d657f1a08'},NTW20／14.5反器材步枪,14.5毫米
NULL,枪械与单兵,,NULL,英国,2001年阿富汗战争,1162毫米,4发,800米,4.8千克,NULL,狙击枪,英国帕克黑尔公司,http://images.huanqiu.com/sarons/2013/08/e900736361f36fa750d33e7a644c571a.jpg,1982年-1984年,{'$oid': '5cc9323f831b973d657f1a09'},帕克-黑尔M82步枪,7.62毫米
NULL,枪械与单兵,,NULL,英国,NULL,1194毫米,10发,800米,6.5千克,NULL,狙击枪,精准国际公司(Accuracy Intemational，英国，朴次茅斯),http://images.huanqiu.com/sarons/2013/11/f7619cf4a0eeab4332a7548a71df751a.jpg,20世纪80年代,{'$oid': '5cc9323f831b973d657f1a0a'},精准国际7.62毫米PM狙击步枪系统,7.62毫米
NULL,枪械与单兵,,NULL,英国,NULL,1257毫米,10发,1828米,4.19千克,NULL,狙击枪,英国皇家轻武器厂（RSAF）,http://images.huanqiu.com/sarons/2013/08/4cb87efbf1a5dddd88812f6316c985e1.jpg,1970年-1985年,{'$oid': '5cc9323f831b973d657f1a0b'},恩菲尔德执法者步枪,7.62毫米
NULL,枪械与单兵,,NULL,美国,越战，波斯湾战争，伊拉克战争，2001年阿富汗战争,1118毫米,5发,800米,6.6千克,NULL,狙击枪,美国雷明登武器公司,http://images.huanqiu.com/sarons/2013/08/72daf4c2ff6a5994643bdff59fea2a7d.jpg,1962年至今,{'$oid': '5cc9323f831b973d657f1a0c'},M40A1狙击步枪,7.62毫米
NULL,枪械与单兵,,半自动枪支,美国,2001年阿富汗战争美伊战争,1118毫米,20发,800米,5千克,NULL,狙击枪,海军陆战队步枪队装备工作室(美国，弗占尼亚州，匡堤科),,NULL,{'$oid': '5cc93240831b973d657f1a0d'},7.62毫米精确射手步枪（DMR）,7.62毫米
NULL,枪械与单兵,"
精准国际7.62毫米AW狙击步枪在设计上考虑了防冻问题，设计了特殊的表面保护层、三位置保险柄、滑动自如的手动式枪机开闭锁机构、枪口制退器、更简单可靠的可分离机械瞄准具、改进的两脚架、与便携挽带配套的多点吊钩附件以及容量为10发的弹匣。
",单发,英国,NULL,1180毫米,10发,800米,6.4千克,NULL,狙击枪,精准国际公司(英国，朴次茅斯),,NULL,{'$oid': '5cc93240831b973d657f1a0e'},精准国际7.62毫米AW狙击步枪,7.62毫米
NULL,枪械与单兵,"
M40狙击步枪是雷明登700步枪的衍生型之一。1966年越战开始装备美国海军陆战队，亦是其制式狙击步枪。M40有3种改进型，1977年的M40A1、1980年的M40A1、2001年的M40A3及2009年的M40A5。美国海军陆战队的M40A1正以更换枪管、枪托及其他零件的方式，陆续换装成新型的M40A3。原型的M40是军用版本的雷明登700步枪，一体式木制枪托及其他所有零件皆由雷明登武器公司制造，而M40A1及A3的枪托改用玻璃纤维，80年的A1及A3换装新型瞄准镜。
",NULL,美国,越战，波斯湾战争，伊拉克战争，2001年阿富汗战争,1115毫米,5发,1300米,6.5千克,NULL,狙击枪,铁旅兵工厂(美国，北卡罗来纳州),http://images.huanqiu.com/sarons/2013/11/00ba6e65bffd13d38e6f291158e12dd9.jpg,1966年至今,{'$oid': '5cc93240831b973d657f1a0f'},铁旅兵工厂M40系列狙击步枪,7.62毫米
NULL,枪械与单兵,,自动步枪,前南斯拉夫,南斯拉夫内战、科索沃战争 伊拉克战争,1135毫米,10发,800米,4.6千克,NULL,狙击枪,前南斯拉夫扎斯塔瓦武器公司,http://images.huanqiu.com/sarons/2013/08/c03b4c95189df3ec7dc046cc07eae9ec.jpg,1975年-,{'$oid': '5cc93240831b973d657f1a10'},Zastava M76自动步枪,7.92毫米
NULL,枪械与单兵,,单发,英国,NULL,1200毫米,10发,300米,6千克,NULL,狙击枪,精准国际公司(英国，朴次茅斯),http://images.huanqiu.com/sarons/2013/11/a25fbaf0280cc48002263b31228c945e.jpg,NULL,{'$oid': '5cc93240831b973d657f1a11'},AW“隐蔽型”狙击步枪,7.62毫米
NULL,枪械与单兵,,NULL,苏/俄,车臣战争，2008年南奥塞梯战争，别斯兰人质危机,894毫米,30发,400米,NULL,NULL,狙击枪,中央精密机械工程研究院(俄罗斯，莫斯科),http://images.huanqiu.com/sarons/2013/11/6edbd998055255ad87421b5a95ece0ee.jpg,1980年,{'$oid': '5cc93240831b973d657f1a12'},9毫米VSS微声狙击步枪,9毫米
NULL,枪械与单兵,,NULL,美国,NULL,1143毫米,5发,1800米,9千克,NULL,狙击枪,美国贝尔塔枪械公司,http://images.huanqiu.com/sarons/2013/08/8453572e677df5dde39f0d9b9ce1af48.jpg,1995年至今,{'$oid': '5cc93240831b973d657f1a13'},贝尔塔95M型步枪,12.7毫米
NULL,枪械与单兵,,半自动步枪,德国,NULL,1208毫米,20发,1000米,8.1千克,NULL,狙击枪,德国赫克勒-科赫有限公司,http://images.huanqiu.com/sarons/2013/08/ab5aeebb2a89fee1fb2fed358b30a5c7.jpg,1975年,{'$oid': '5cc93240831b973d657f1a14'},赫克勒·科赫PSG 1自动步枪,7.62毫米
NULL,枪械与单兵,,NULL,中国,NULL,920毫米,10发,1000米,4.1千克,NULL,狙击枪,中国北方工业公司,http://images.huanqiu.com/sarons/2013/11/e2c02df6009a7a319a56634d2371d3a3.jpg,1996年,{'$oid': '5cc93241831b973d657f1a15'},QBU88式狙击步枪,5.8毫米
NULL,枪械与单兵,"
    W03型12.7mm狙击步枪是一种无托结构的步枪，采用机头回转式闭锁，旋转后拉式枪机。枪管有1002mm的长枪管和737mm的短枪管两种。该枪的高效制退、消焰器效率极好，卧姿抵肩射击时，可感后坐力与12号霰弹枪差不多，而测得的枪口焰也比85式高射机枪小。该枪的另一特点是枪管可快速更换，提把与枪管的固定栓二合为一，这样的设计看来是仿效了机枪的特点。
",NULL,中国,NULL,1370毫米,10发,2000米,12千克,NULL,狙击枪,NULL,http://images.huanqiu.com/sarons/2013/11/1272ededcbbc9d89d9dcb19ad94c72a3.jpg,2001年,{'$oid': '5cc93241831b973d657f1a16'},W03型12.7mm狙击步枪,12.7毫米
NULL,枪械与单兵,"
M39增强型精确射手步枪（EMR或M39 EMR，北约贮存编号：1005-01-553-5196；美国军方正式名称：Rifle, 7.62 MM, M39 Enhanced Marksman Rifle (EMR)）是美国海军陆战队（USMC）于2008年以M14自动步枪的衍生型M14 DMR改装的7.62 × 51毫米半自动精确射手步枪。EMR目前配发的弹药为M118LR 175格令远程狙击弹，基本型的EMR（不计算弹匣、背带、两脚架、清洁用具、消声器）重量为13磅（5.9公斤）。
",NULL,美国,NULL,1120毫米,20发,770米,7.5千克,NULL,狙击枪,NULL,http://images.huanqiu.com/sarons/2014/01/c1ef3630aa27e94ab67531c35784b882.jpg,2008年至今,{'$oid': '5cc93241831b973d657f1a17'},M39增强型精确射手步枪,7.62毫米
NULL,枪械与单兵,"
国产JS05式12.7MM狙击步枪，是建设集团的JS7.62液压驻退式手动旋转后拉枪机战术狙击步枪，最具特色的是其液压驻退系统,是国产大口径反器材步枪中唯一能发射次口径脱壳穿甲弹的型号。
",NULL,中国,NULL,1392毫米,3发,1000米,12.5千克,NULL,狙击枪,NULL,,2003年,{'$oid': '5cc93241831b973d657f1a18'},国产JS05式12.7MM狙击步枪,12.7毫米
NULL,枪械与单兵,,NULL,美国,NULL,99999.999毫米,10发,NULL,6.12千克,NULL,狙击枪,巴雷特,http://images.huanqiu.com/sarons/2013/11/7f2f9fc1b8230c135e29d23586f09b60.jpg,2008年,{'$oid': '5cc93241831b973d657f1a19'},巴雷特M98B狙击步枪,8.59毫米
NULL,枪械与单兵,"
M99式是一款性能先进、用途广泛、精度高、射程远、重量轻、结构新颖、性能可靠、易维护的半自动狙击步枪，是新定型的出口型反器材步枪，它与英国AI公司的AS50的外形似乎很接近，均为气吹式原理，尤其是导气管外都有个隔热套保护，防止导气管加热上方空气而影响瞄准。
",半自动,中国,NULL,1270毫米,5发,1500米,11.4千克,NULL,狙击枪,NULL,http://images.huanqiu.com/sarons/2014/01/6f2b545c626320d9c3f78a206c0f866d.jpg,20世纪90年代后期,{'$oid': '5cc93242831b973d657f1a1a'},M99半自动狙击步枪,12.7毫米
NULL,枪械与单兵,"
AMR-2（英语：AntiMaterielRifle-2）是一枝在中国设计的12.7 毫米（50 英吋）大口径重型狙击步枪（反器材步枪），由中国南方工业集团公司设计及生产，于2000年早期推出，发射12.7 × 108 毫米（54式12.7毫米重机枪弹）步枪子弹。
",非自动狙击步枪,中国,NULL,1420毫米,5发,1800米,11千克,NULL,狙击枪,中国南方工业集团公司,http://images.huanqiu.com/sarons/2014/01/f99e69296f6f85ad3da05cc008bdf1f3.jpg,2000年,{'$oid': '5cc93243831b973d657f1a1b'},AMR-2型12.7毫米狙击步枪,12.7毫米
NULL,枪械与单兵,,非自动枪支,中国,NULL,1030毫米,5发,800米,5.5千克,NULL,狙击枪,建设集团军品研究所,,2003年,{'$oid': '5cc93243831b973d657f1a1c'},JS 7.62mm狙击步枪,7.62毫米
NULL,枪械与单兵,,非自动枪支,美国,NULL,1125毫米,5发,914.4米,7.48千克,NULL,狙击枪,NULL,http://images.huanqiu.com/sarons/2013/11/6a41865544a6600e09440227aa1fcf14.jpg,2009年,{'$oid': '5cc93243831b973d657f1a1d'},m40a5狙击步枪,7.62毫米
NULL,枪械与单兵,,自动枪支,美国,阿富汗战争，伊拉克战争,1003毫米,20发,600米,4.47千克,NULL,狙击枪,奈特军械公司,http://images.huanqiu.com/sarons/2013/11/5f447dbd6d91d343f811a8c1a7e45035.jpg,2007年,{'$oid': '5cc93243831b973d657f1a1e'},Mk11式7.62毫米狙击步枪,7.62毫米
NULL,枪械与单兵,,手动机枪,苏/俄,2008年男奥塞梯战争,1375毫米,10发,1000米,7.8千克,NULL,狙击枪,伊茨玛希工厂,http://images.huanqiu.com/sarons/2013/11/3f7752dae3c470f3819a2d8daacf798d.jpg,1998年,{'$oid': '5cc93244831b973d657f1a1f'},SV98狙击步枪,7.62毫米
NULL,枪械与单兵,,NULL,中国,NULL,920毫米,10发,600米,4.2千克,NULL,狙击枪,中国北方工业公司,http://images.huanqiu.com/sarons/2013/11/880c6203c3d6d9e464b80b9f17ddbc4b.jpg,1997年,{'$oid': '5cc93244831b973d657f1a20'},97式5.56mm狙击步枪,5.56毫米
NULL,枪械与单兵,,NULL,捷克,NULL,1250毫米,10发,NULL,6.2千克,NULL,狙击枪,捷克斯洛伐克CZ兵工厂,http://images.huanqiu.com/sarons/2014/01/91407a104d98059ee108bb74f5caaf7f.jpg,NULL,{'$oid': '5cc93244831b973d657f1a21'},CZ-700狙击枪,7.62毫米
NULL,枪械与单兵,,NULL,美国,NULL,1003毫米,20发,1000米,4.47千克,NULL,狙击枪,奈特军械公司,http://images.huanqiu.com/sarons/2014/01/c656ed91d69013541c6e25227b7b8941.jpg,NULL,{'$oid': '5cc93244831b973d657f1a22'},MK11-0型狙击步枪,7.62毫米
NULL,枪械与单兵,,自动枪支,美国,NULL,12446毫米,4发,NULL,7.14千克,NULL,狙击枪,雷明登军品分公司,,1962年,{'$oid': '5cc93244831b973d657f1a23'},雷明登SR8狙击步枪,8.59毫米
NULL,枪械与单兵,,NULL,苏/俄,NULL,1270毫米,10发,300米,6.2千克,NULL,狙击枪,伊热夫斯克机械公司,,NULL,{'$oid': '5cc93244831b973d657f1a24'},CB-98狙击枪,7.62毫米
NULL,枪械与单兵,,自动枪支,苏/俄,车臣战争,1700毫米,5发,2000米,11.7千克,NULL,狙击枪,图拉仪表制造设计局,http://images.huanqiu.com/sarons/2014/01/88f8cb41373c1e0551131f10d3a76d05.jpg,1996年,{'$oid': '5cc93244831b973d657f1a25'},V-94狙击枪,12.7毫米
NULL,枪械与单兵,,NULL,奥地利,NULL,1175毫米,10发,800米,5.2千克,NULL,狙击枪,斯泰尔-曼利夏公司,,2004年,{'$oid': '5cc93245831b973d657f1a26'},斯泰尔SSG-04狙击枪,7.62毫米
NULL,枪械与单兵,,NULL,中国,对越自卫反击战,1220毫米,10发,800米,4.4千克,NULL,狙击枪,NULL,,1979年,{'$oid': '5cc93245831b973d657f1a27'},85式狙击步枪,7.62毫米
400,枪械与单兵,,自动枪支,德国,NULL,1208毫米,20发,1000米,8.1千克,NULL,狙击枪,黑克勒-科赫公司,,1972年,{'$oid': '5cc93245831b973d657f1a28'},PSG-1半自动狙击步枪,7.62毫米
NULL,枪械与单兵,,NULL,英国,NULL,1300毫米,5发,600米,6.8千克,NULL,狙击枪,英国国际精密公司,http://images.huanqiu.com/sarons/2014/01/52b3f6b04b583d2fb10dbc2fce771fce.jpg,2008年,{'$oid': '5cc93245831b973d657f1a29'},L115A3狙击枪,8.59毫米
NULL,枪械与单兵,,NULL,中国,NULL,1392毫米,10发,2000米,12.5千克,NULL,狙击枪,NULL,,NULL,{'$oid': '5cc93246831b973d657f1a2a'},W03型狙击步枪,12.7毫米
